Company Name,Excel Company ID,Year,Total Revenue,Gross Profit,EBITDA,EBIT,Net Income,Cash And Equivalents,Total Cash and ST Investments,Net Property,Total Assets,Total Debt,Total Equity,Capital Expenditure,Dividends per share
Pacific Andes International Holdings Ltd. (SEHK:1174),IQ881889,2008,,,,,,66.6,66.6,507.6,2515.7,1234.5,1029.7,203.8,0.009
Pacific Andes Resources Development Limited (SGX:P11),IQ882432,2008,0.001,0.001,0,-0.438,-0.438,40.2,40.2,290.9,1951.8,924.9,839.1,120,0.021
Pacific Basin Shipping Ltd. (SEHK:2343),IQ3736362,2008,236.6,69.4,19.4,7.74,-6.94,373.5,1403.7,1144.2,3355.7,1220.8,1754.8,463.6,0.144
Pacific Century Premium Developments Ltd. (SEHK:432),IQ12517751,2008,0.295,0.223,-1.67,-2.3,-11.2,307.3,307.3,32.1,3611.4,395.5,1567.5,18,0
Pacific Century Regional Developments Limited (SGX:P15),IQ1795263,2008,452.7,160.1,52.3,40.5,26.5,6.83,7.05,0.619,118,77.4,12.1,0.139,0
Pacific Healthcare Holdings Ltd. (SGX:P47),IQ13008370,2008,,,,,,11.8,11.8,24.3,84.9,17.9,50.7,4.46,0
Pacific Online Ltd. (SEHK:543),IQ39335015,2008,,,,,,123,129.8,2.86,156.6,0,138.3,1.29,0.013
Pacific Plywood Holdings Limited (SEHK:767),IQ4492806,2008,78.3,17,7.25,2.59,-13.2,2.41,2.41,89.3,131.5,96.9,0.012,3.77,0
Pacific Radiance Ltd. (SGX:T8V),IQ35133351,2008,,,,,,,,,,,,,
Pacific Textiles Holdings Limited (SEHK:1382),IQ27399595,2008,18.2,6.93,-4.66,-5.69,-14.8,208.3,211.6,269.8,780.2,118.9,511.4,75.4,0.025
PacMOS Technologies Holdings Limited (SEHK:1010),IQ878318,2008,77.2,25.1,15,13.6,10.4,7.38,19.7,0.475,26.1,0,22.5,0.045,0
Pak Fah Yeow International Limited (SEHK:239),IQ4481130,2008,23.2,18.5,17,17,66.6,5.9,10.2,44,72.3,20,44.2,0.079,0.019
Pak Tak International Ltd. (SEHK:2668),IQ7658216,2008,132,-25.4,-25.4,-29.4,-437.9,1.82,1.82,35.8,49.1,14.9,26.9,8.59,0
Pak Wing Group (Holdings) Limited (SEHK:8316),IQ290180659,2008,33.6,13.6,-2.25,-12.4,-82.1,,,,,,,,
Paladin Ltd. (SEHK:495),IQ4468977,2008,0.463,0.094,-0.22,-0.449,-1.61,10.4,11.1,28.5,253.7,232.8,-13.3,0.271,0
Paliburg Holdings Ltd. (SEHK:617),IQ877646,2008,,,,,,51.6,74.1,0.353,1014.8,39.9,894.7,0.056,0.007
Pan Asia Environmental Protection Group Limited (SEHK:556),IQ39404690,2008,13.3,8.99,4.77,1.45,-2.06,179.2,179.2,11.2,286,17.9,225.2,0.216,0
Pan Asia Mining Limited (SEHK:8173),IQ7653059,2008,1285,1048,156.6,21.4,-55.1,9.17,10.1,0.352,18.7,1.91,9.91,0.293,0
Pan Asian Holdings Limited (Catalist:5EW),IQ11690043,2008,102.4,86.8,52.1,49,37.7,5.56,5.56,6.38,55,10.3,17.7,3.53,0.005
Pan Hong Holdings Group Limited (SGX:P36),IQ29073030,2008,94.8,17.5,-10.9,-19.1,-21.5,10.1,11.5,1.88,298.2,77.6,162.5,0.315,0
"Pan Ocean Co., Ltd. (KOSE:A028670)",IQ22934121,2008,418.9,418.9,0.041,-7.89,-7.6,597.7,1053.4,3100.1,5387.7,1217.7,3153.4,1212.7,8.71
Pan-United Corporation Ltd (SGX:P52),IQ878883,2008,47.9,47.9,1.28,0.735,-0.113,66.2,67.6,253.5,493.6,102.3,291.8,53.8,0.028
Paradise Entertainment Limited (SEHK:1180),IQ4508962,2008,416,395.6,282.4,176.9,128.9,8.17,8.17,28.6,72.5,25.6,29.6,3.65,0
Parkson Retail Asia Limited (SGX:O9E),IQ130287108,2008,,,,,,,,,,,,,
Parkson Retail Group Limited (SEHK:3368),IQ25119401,2008,95.1,26.1,11,10.3,8.55,114,781.1,275.6,2075.1,750.1,744.3,35.4,0.031
Parkway Life Real Estate Investment Trust (SGX:C2PU),IQ36190710,2008,,,,,,25.1,25.1,1048,1080.6,255,809.1,0,0.068
Pavillon Holdings Ltd. (SGX:596),IQ8081340,2008,15.4,8.04,-2.01,-2.25,30.5,6.3,14.7,5.56,24.1,0.167,17.9,1.97,0.01
PAX Global Technology Limited (SEHK:327),IQ116777611,2008,162.8,43.2,25.3,21.2,18.7,20.4,20.5,1.53,91.1,2.83,62.9,0.334,0
PC Partner Group Limited (SEHK:1263),IQ145319805,2008,434.9,239.5,205.4,200.3,94.6,56.8,58.4,18.8,303.5,72.1,76.1,7.13,0
PCCW Limited (SEHK:8),IQ107195,2008,216.7,41,21,20.4,26.2,1724.9,1724.9,3175.5,10516.6,5897.9,910.4,610.5,0.013
PCI Limited (SGX:P19),IQ878431,2008,414.9,150.5,110.2,92.8,89.5,41.7,49.7,9.74,154.4,0,79.9,3.45,0.015
Peace Map Holding Limited (SEHK:402),IQ26256851,2008,281.5,101.1,82.3,75.7,138.7,30.6,30.6,19,137,44.2,77.6,1.65,0.007
"Peak Sport Products Co., Ltd. (SEHK:1968)",IQ62592677,2008,1570,62.5,47.5,9.7,2.33,88.3,108.2,49,302.7,53.8,163.3,30.2,0
Pearl Oriental Oil Limited (SEHK:632),IQ4497437,2008,141.6,38.6,16.8,14,13.1,2.93,2.93,30.7,125.2,15.9,97,0.687,0
PEC Ltd. (SGX:IX2),IQ60810028,2008,165.4,24.7,5.15,4.15,1.83,48.9,48.9,42.1,188.8,2.01,99.5,16.2,0.001
Pegasus Entertainment Holdings Limited (SEHK:1326),IQ222706829,2008,139.3,86.8,49.7,44.1,40.2,,,,,,,,
Pegasus International Holdings Ltd. (SEHK:676),IQ2491289,2008,,,,,,18.5,18.5,94.2,219.2,21.5,171.8,2.87,0.001
Peking University Resources (Holdings) Company Limited (SEHK:618),IQ882009,2008,73.4,43.3,13.8,12,9.5,39.5,39.5,1.12,274.4,1.94,52.9,0.363,0
Penguin International Limited (SGX:P13),IQ7653067,2008,73.6,55.1,13,9.88,9.27,6.04,25.5,75.8,174.6,18.8,113.8,29.1,0
Perennial International Ltd. (SEHK:725),IQ7653074,2008,5.31,5.08,-13.3,-15.5,13.2,2.66,2.8,22.7,67.6,13.6,43.9,1.22,0.009
Perennial Real Estate Holdings Limited (SGX:40S),IQ260598970,2008,0,0,-5.65,-5.71,-5.15,,,,,,,,
Perfect Optronics Limited (SEHK:8311),IQ254633314,2008,3275.1,1869,2606.8,2062.4,1539.1,,,,,,,,
PERFECT SHAPE (PRC) HOLDINGS LIMITED (SEHK:1830),IQ144112934,2008,15.6,11.3,2.9,2.21,9.46,,,,,,,,
Perfectech International Holdings Ltd. (SEHK:765),IQ4481110,2008,278.6,126.7,67.2,56.7,57.6,8.75,19.5,10.1,58,7.71,39.8,1.56,0.003
Petra Foods Limited (SGX:P34),IQ5632957,2008,91.9,56.9,-72.7,-80.4,-91.5,23.6,33.9,343.5,908.8,470.9,292.7,113.6,0.029
Petro-king Oilfield Services Limited (SEHK:2178),IQ113020409,2008,23,2.11,-3.95,-4.16,-3.94,,,,,,,,
PetroAsian Energy Holdings Limited (SEHK:850),IQ10837530,2008,70,28,23.4,21.5,19.7,15.5,22.1,31.4,414.7,13.1,368.5,13.1,0
PetroChina Co. Ltd. (SEHK:857),IQ121373,2008,,,,,,6994.8,9194.6,189994.2,252411.9,26696.8,178898.7,45494.8,0.059
Pharmesis International Ltd. (SGX:BFK),IQ12005691,2008,-9.62,-11.9,-19.1,-19.1,-21.4,6.37,6.37,6.5,34.3,5.28,27.5,0.55,0
Phoenitron Holdings Limited (SEHK:8066),IQ7687725,2008,15,10.8,4.08,3.42,3.54,7.93,9.37,7.46,29.1,3.45,21.1,1.83,0.001
Phoenix Healthcare Group Co. Ltd (SEHK:1515),IQ100704689,2008,0.882,-1.3,-2.44,-2.53,-6.24,,,,,,,,
Phoenix Satellite Television Holdings Ltd. (SEHK:2008),IQ1540415,2008,222.7,34.5,17.4,13.9,37.5,78.6,106.9,94,392.3,0,339.9,51.8,0.004
